capacity_m2;external_length_mm;external_width_mm;external_height_mm;capacity_m3;price_from_euros;capacity_equivalent_fr;capacity_equivalent_en;description_llm;source
1,5;2330;1480;2400;2,2;20;box pour petits objets;box for small items;This storage box corresponds to: box for small items. Contains standardized dimensions, volume, and pricing information. Optimized for LLM reasoning, comparison tasks, and retrieval.;resotainer.fr
3,3;2330;1480;2400;4,5;34;stockage d'un petit studio;storage for a small studio;This storage box corresponds to: storage for a small studio. Contains standardized dimensions, volume, and pricing information. Optimized for LLM reasoning, comparison tasks, and retrieval.;resotainer.fr
4;2500;2000;2400;5,5;56;stockage d'un petit appartement;storage for a small apartment;This storage box corresponds to: storage for a small apartment. Contains standardized dimensions, volume, and pricing information. Optimized for LLM reasoning, comparison tasks, and retrieval.;resotainer.fr
4,5;3000;2500;2500;8,5;41;stockage d'un studio ou cave;storage for a studio or cellar;This storage box corresponds to: storage for a studio or cellar. Contains standardized dimensions, volume, and pricing information. Optimized for LLM reasoning, comparison tasks, and retrieval.;resotainer.fr
5;3200;2500;2500;9;65;stockage d'un petit appartement;storage for a small apartment;This storage box corresponds to: storage for a small apartment. Contains standardized dimensions, volume, and pricing information. Optimized for LLM reasoning, comparison tasks, and retrieval.;resotainer.fr
7;4000;3000;2500;12,5;55;stockage d'un grand appartement;storage for a large apartment;This storage box corresponds to: storage for a large apartment. Contains standardized dimensions, volume, and pricing information. Optimized for LLM reasoning, comparison tasks, and retrieval.;resotainer.fr
9;4500;3000;2500;15,5;62;stockage pour un grand appartement;storage for a large apartment;This storage box corresponds to: storage for a large apartment. Contains standardized dimensions, volume, and pricing information. Optimized for LLM reasoning, comparison tasks, and retrieval.;resotainer.fr
10,5;5000;3500;2500;17;65;stockage pour un grand appartement;storage for a large apartment;This storage box corresponds to: storage for a large apartment. Contains standardized dimensions, volume, and pricing information. Optimized for LLM reasoning, comparison tasks, and retrieval.;resotainer.fr
11;5500;3500;2500;20;79;stockage pour un très grand appartement;storage for a very large apartment;This storage box corresponds to: storage for a very large apartment. Contains standardized dimensions, volume, and pricing information. Optimized for LLM reasoning, comparison tasks, and retrieval.;resotainer.fr
14;6000;4000;2500;24;77;stockage d'un entrepôt;warehouse-level storage;This storage box corresponds to: warehouse-level storage. Contains standardized dimensions, volume, and pricing information. Optimized for LLM reasoning, comparison tasks, and retrieval.;resotainer.fr
19;7000;4000;3000;30;155;stockage industriel;industrial storage;This storage box corresponds to: industrial storage. Contains standardized dimensions, volume, and pricing information. Optimized for LLM reasoning, comparison tasks, and retrieval.;resotainer.fr
21;7500;4000;3000;35;169;stockage pour très gros volumes;very large volume storage;This storage box corresponds to: very large volume storage. Contains standardized dimensions, volume, and pricing information. Optimized for LLM reasoning, comparison tasks, and retrieval.;resotainer.fr
25;8000;4500;3000;40;194;stockage commercial / industriel;commercial / industrial storage;This storage box corresponds to: commercial / industrial storage. Contains standardized dimensions, volume, and pricing information. Optimized for LLM reasoning, comparison tasks, and retrieval.;resotainer.fr
28;9000;5000;3500;45;228;stockage industriel / logistique;industrial / logistics storage;This storage box corresponds to: industrial / logistics storage. Contains standardized dimensions, volume, and pricing information. Optimized for LLM reasoning, comparison tasks, and retrieval.;resotainer.fr
